title,url,avg_rating,ratings
Intrinsic-Extrinsic Convolution and Pooling for Learning on 3D Protein Structures,https://openreview.net/forum?id=l0mSUROpwY,7,"['9', '8', '4', '9', '5']"
EVALUATION OF NEURAL ARCHITECTURES TRAINED WITH SQUARE LOSS VS CROSS-ENTROPY IN CLASSIFICATION TASKS,https://openreview.net/forum?id=hsFN92eQEla,7,"['8', '6', '7', '7']"
Interpretable Neural Architecture Search via Bayesian Optimisation with Weisfeiler-Lehman Kernels,https://openreview.net/forum?id=j9Rv7qdXjd,7,"['7', '7', '5', '9']"
More or Less: When and How to Build Neural Network  Ensembles,https://openreview.net/forum?id=z5Z023VBmDZ,7,"['7', '6', '8', '7']"
Approximate Nearest Neighbor Negative Contrastive Learning for Dense Text Retrieval,https://openreview.net/forum?id=zeFrfgyZln,7,"['6', '7', '9', '6']"
Spatio-Temporal Graph Scattering Transform,https://openreview.net/forum?id=CF-ZIuSMXRz,7,"['6', '7', '9', '6']"
Deep Equals Shallow for ReLU Networks in Kernel Regimes,https://openreview.net/forum?id=aDjoksTpXOP,7,"['7', '6', '6', '9']"
Learning to Reach Goals via Iterated Supervised Learning,https://openreview.net/forum?id=rALA0Xo6yNJ,7,"['8', '7', '6', '7']"
BUSTLE: Bottom-up program Synthesis Through Learning-guided Exploration,https://openreview.net/forum?id=yHeg4PbFHh,7,"['5', '9', '6', '8']"
Linear Convergent Decentralized Optimization with Compression,https://openreview.net/forum?id=84gjULz1t5,7,"['7', '7', '7']"
Unsupervised Audiovisual Synthesis via Exemplar Autoencoders,https://openreview.net/forum?id=43VKWxg_Sqr,7,"['6', '9', '6']"
Single-Timescale Actor-Critic Provably Finds Globally Optimal Policy,https://openreview.net/forum?id=pqZV_srUVmK,7,"['8', '8', '7', '5']"
How Benign is Benign Overfitting ?,https://openreview.net/forum?id=g-wu9TMPODo,7,"['6', '7', '7', '8']"
DDPNOpt: Differential Dynamic Programming Neural Optimizer,https://openreview.net/forum?id=6s7ME_X5_Un,7,"['7', '7', '8', '6']"
Calibration of Neural Networks using Splines,https://openreview.net/forum?id=eQe8DEWNN2W,7,"['7', '8', '5', '8']"
Unbiased Teacher for Semi-Supervised Object Detection,https://openreview.net/forum?id=MJIve1zgR_,7,"['7', '9', '6', '6']"
Grounded Language Learning Fast and Slow,https://openreview.net/forum?id=wpSWuz_hyqA,7,"['6', '8', '6', '8']"
"Deep Encoder, Shallow Decoder: Reevaluating Non-autoregressive Machine Translation",https://openreview.net/forum?id=KpfasTaLUpq,7,"['7', '5', '7', '9']"
VAEBM: A Symbiosis between Variational Autoencoders and Energy-based Models,https://openreview.net/forum?id=5m3SEczOV8L,7,"['8', '6', '7', '7']"
Graph-Based Continual Learning,https://openreview.net/forum?id=HHSEKOnPvaO,7,"['8', '7', '7', '6']"
Contrastive Divergence Learning is a Time Reversal Adversarial Game,https://openreview.net/forum?id=MLSvqIHRidA,7,"['6', '7', '7', '8']"
Long-tail learning via logit adjustment,https://openreview.net/forum?id=37nvvqkCo5,7,"['5', '7', '8', '8']"
Mutual Information State Intrinsic Control,https://openreview.net/forum?id=OthEq8I5v1,7,"['8', '7', '7', '6']"
UPDeT: Universal Multi-agent RL via Policy Decoupling with Transformers,https://openreview.net/forum?id=v9c7hr9ADKx,7,"['7', '9', '5']"
Towards Nonlinear Disentanglement in Natural Data with Temporal Sparse Coding,https://openreview.net/forum?id=EbIDjBynYJ8,7,"['7', '8', '7', '6']"
Do 2D GANs know 3D shape? Unsupervised 3D Shape Reconstruction from 2D Image GANs,https://openreview.net/forum?id=FGqiDsBUKL0,7,"['8', '6', '7']"
Sequential Density Ratio Estimation for Simultaneous Optimization of Speed and Accuracy,https://openreview.net/forum?id=Rhsu5qD36cL,7,"['7', '9', '6', '7', '6']"
Graph Convolution with Low-rank Learnable Local Filters,https://openreview.net/forum?id=9OHFhefeB86,7,"['7', '7', '6', '8']"
Stabilized Medical Attacks,https://openreview.net/forum?id=QfTXQiGYudJ,7,"['8', '6', '7']"
Regularized Inverse Reinforcement Learning,https://openreview.net/forum?id=HgLO8yalfwc,6.8,"['6', '6', '7', '8', '7']"
FastSpeech 2: Fast and High-Quality End-to-End Text to Speech,https://openreview.net/forum?id=piLPYqxtWuA,6.8,"['7', '7', '8', '7', '5']"
Large Scale Image Completion via Co-Modulated Generative Adversarial Networks,https://openreview.net/forum?id=sSjqmfsk95O,6.8,"['7', '8', '5', '8', '6']"
Async-RED: A Provably Convergent Asynchronous Block Parallel Stochastic Method using Deep Denoising Priors,https://openreview.net/forum?id=9EsrXMzlFQY,6.75,"['7', '6', '6', '8']"
Learning to live with Dale's principle: ANNs with separate excitatory and inhibitory units,https://openreview.net/forum?id=eU776ZYxEpz,6.75,"['9', '6', '6', '6']"
Secure Federated Learning of User Verification Models,https://openreview.net/forum?id=InGI-IMDL18,6.75,"['7', '8', '4', '8']"
Is Attention Better Than Matrix Decomposition?,https://openreview.net/forum?id=1FvkSpWosOl,6.75,"['6', '7', '7', '7']"
Analyzing the Expressive Power of Graph Neural Networks in a Spectral Perspective,https://openreview.net/forum?id=-qh0M9XWxnv,6.75,"['6', '5', '8', '8']"
Gauge Equivariant Mesh CNNs: Anisotropic convolutions on geometric graphs,https://openreview.net/forum?id=Jnspzp-oIZE,6.75,"['7', '5', '6', '9']"
Generalization bounds via distillation,https://openreview.net/forum?id=EGdFhBzmAwB,6.75,"['8', '7', '6', '6']"
Computational Separation Between Convolutional and Fully-Connected Networks,https://openreview.net/forum?id=hkMoYYEkBoI,6.75,"['8', '8', '6', '5']"
Selective Classification Can Magnify Disparities Across Groups,https://openreview.net/forum?id=N0M_4BkQ05i,6.75,"['7', '8', '5', '7']"
Why Are Convolutional Nets More Sample-Efficient than Fully-Connected Nets?,https://openreview.net/forum?id=uCY5MuAxcxU,6.75,"['7', '5', '8', '7']"
On Graph Neural Networks versus Graph-Augmented MLPs,https://openreview.net/forum?id=tiqI7w64JG2,6.75,"['7', '8', '7', '5']"
How Much Over-parameterization Is Sufficient to Learn Deep ReLU Networks?,https://openreview.net/forum?id=fgd7we_uZa6,6.75,"['8', '6', '7', '6']"
Probabilistic Numeric Convolutional Neural Networks,https://openreview.net/forum?id=T1XmO8ScKim,6.75,"['7', '6', '7', '7']"
Deep Representational Re-tuning using Contrastive Tension,https://openreview.net/forum?id=Ov_sMNau-PF,6.75,"['6', '7', '5', '9']"
Multiplicative Filter Networks,https://openreview.net/forum?id=OmtmcPkkhT,6.75,"['6', '6', '6', '9']"
Improved Autoregressive Modeling with Distribution Smoothing,https://openreview.net/forum?id=rJA5Pz7lHKb,6.75,"['8', '6', '7', '6']"
Gradient Vaccine: Investigating and Improving Multi-task Optimization in Massively Multilingual Models,https://openreview.net/forum?id=F1vEjWK-lH_,6.75,"['6', '6', '8', '7']"
Do Wide and Deep Networks Learn the Same Things? Uncovering How Neural Network Representations Vary with Width and Depth,https://openreview.net/forum?id=KJNcAkY8tY4,6.75,"['7', '6', '8', '6']"
Negative Data Augmentation ,https://openreview.net/forum?id=Ovp8dvB8IBH,6.75,"['5', '6', '9', '7']"
Molecule Optimization by Explainable Evolution,https://openreview.net/forum?id=jHefDGsorp5,6.75,"['7', '6', '6', '8']"
Structured Prediction as Translation between Augmented Natural Languages,https://openreview.net/forum?id=US-TP-xnXI,6.75,"['7', '6', '8', '6']"
A Better Alternative to Error Feedback for Communication-Efficient Distributed Learning,https://openreview.net/forum?id=vYVI1CHPaQg,6.75,"['5', '6', '7', '9']"
Randomized Automatic Differentiation,https://openreview.net/forum?id=xpx9zj7CUlY,6.75,"['4', '8', '8', '7']"
Learning to Recombine and Resample Data For Compositional Generalization,https://openreview.net/forum?id=PS3IMnScugk,6.75,"['5', '7', '7', '8']"
Gradient Descent on Neural Networks Typically Occurs at the Edge of Stability,https://openreview.net/forum?id=jh-rTtvkGeM,6.75,"['8', '8', '5', '6']"
Adversarial score matching and improved sampling for image generation,https://openreview.net/forum?id=eLfqMl3z3lq,6.75,"['7', '6', '7', '7']"
Randomized Ensembled Double Q-Learning: Learning Fast Without a Model,https://openreview.net/forum?id=AY8zfZm0tDd,6.75,"['6', '7', '7', '7']"
Long Range Arena : A Benchmark for Efficient Transformers ,https://openreview.net/forum?id=qVyeW-grC2k,6.75,"['7', '7', '7', '6']"
Deployment-Efficient Reinforcement Learning via Model-Based Offline Optimization,https://openreview.net/forum?id=3hGNqpI4WS,6.75,"['8', '7', '5', '7']"
When Optimizing  $f$-Divergence is Robust with Label Noise,https://openreview.net/forum?id=WesiCoRVQ15,6.75,"['7', '6', '7', '7']"
Meta-learning Symmetries by Reparameterization,https://openreview.net/forum?id=-QxT4mJdijq,6.75,"['5', '9', '7', '6']"
What Makes Instance Discrimination Good for Transfer Learning?,https://openreview.net/forum?id=tC6iW2UUbJf,6.75,"['8', '5', '7', '7']"
Image Augmentation Is All You Need: Regularizing Deep Reinforcement Learning from Pixels,https://openreview.net/forum?id=GY6-6sTvGaf,6.75,"['7', '6', '7', '7']"
Robust early-learning: Hindering the memorization of noisy labels,https://openreview.net/forum?id=Eql5b1_hTE4,6.75,"['6', '7', '7', '7']"
Deep Neural Tangent Kernel and Laplace Kernel Have the Same RKHS,https://openreview.net/forum?id=vK9WrZ0QYQ,6.75,"['8', '7', '5', '7']"
The Traveling Observer Model: Multi-task Learning Through Spatial Variable Embeddings,https://openreview.net/forum?id=qYda4oLEc1,6.75,"['9', '9', '5', '4']"
Federated Learning Based on Dynamic Regularization,https://openreview.net/forum?id=B7v4QMR6Z9w,6.75,"['6', '7', '7', '7']"
"Few-Shot Learning via Learning the Representation, Provably",https://openreview.net/forum?id=pW2Q2xLwIMD,6.75,"['6', '7', '8', '6']"
Neural Topic Model via Optimal Transport,https://openreview.net/forum?id=Oos98K9Lv-k,6.75,"['7', '6', '8', '6']"
